idx,dims,k,shape,arm,result,seconds
245,"(4, 5, 9)",10,4x5x8,kissat,TIMEOUT,300.0
246,"(4, 5, 9)",10,4x5x7,cadical,TIMEOUT,300.0
246,"(4, 5, 9)",10,4x5x7,cadical_lex,TIMEOUT,300.0
246,"(4, 5, 9)",10,4x5x7,hydra_satsuma,TIMEOUT,298.3
246,"(4, 5, 9)",10,4x5x7,kissat,TIMEOUT,300.0
248,"(4, 5, 9)",10,4x5x8,cadical,TIMEOUT,300.0
248,"(4, 5, 9)",10,4x5x8,cadical_lex,TIMEOUT,300.0
248,"(4, 5, 9)",10,4x5x8,hydra_satsuma,TIMEOUT,298.4
248,"(4, 5, 9)",10,4x5x8,kissat,TIMEOUT,300.0
250,"(4, 5, 9)",10,4x5x8,cadical,TIMEOUT,300.0
250,"(4, 5, 9)",10,4x5x8,cadical_lex,TIMEOUT,300.0
250,"(4, 5, 9)",10,4x5x8,hydra_satsuma,TIMEOUT,298.4
250,"(4, 5, 9)",10,4x5x8,kissat,TIMEOUT,300.0
251,"(4, 5, 9)",10,4x5x8,cadical,TIMEOUT,300.0
251,"(4, 5, 9)",10,4x5x8,cadical_lex,TIMEOUT,300.0
251,"(4, 5, 9)",10,4x5x8,hydra_satsuma,TIMEOUT,298.4
251,"(4, 5, 9)",10,4x5x8,kissat,TIMEOUT,300.0
252,"(4, 5, 9)",10,4x5x8,cadical,TIMEOUT,300.0
252,"(4, 5, 9)",10,4x5x8,cadical_lex,TIMEOUT,300.0
252,"(4, 5, 9)",10,4x5x8,hydra_satsuma,TIMEOUT,298.4
252,"(4, 5, 9)",10,4x5x8,kissat,TIMEOUT,300.0
254,"(4, 5, 9)",10,4x5x8,cadical,TIMEOUT,300.0
254,"(4, 5, 9)",10,4x5x8,cadical_lex,TIMEOUT,300.0
254,"(4, 5, 9)",10,4x5x8,hydra_satsuma,TIMEOUT,298.4
254,"(4, 5, 9)",10,4x5x8,kissat,TIMEOUT,300.0
256,"(4, 5, 9)",10,4x5x6,cadical,TIMEOUT,300.0
256,"(4, 5, 9)",10,4x5x6,cadical_lex,TIMEOUT,300.0
256,"(4, 5, 9)",10,4x5x6,hydra_satsuma,TIMEOUT,298.4
256,"(4, 5, 9)",10,4x5x6,kissat,TIMEOUT,300.0
257,"(4, 5, 9)",10,4x5x6,cadical,TIMEOUT,300.0
257,"(4, 5, 9)",10,4x5x6,cadical_lex,TIMEOUT,300.0
257,"(4, 5, 9)",10,4x5x6,hydra_satsuma,TIMEOUT,298.3
257,"(4, 5, 9)",10,4x5x6,kissat,TIMEOUT,300.0
258,"(4, 5, 9)",10,4x5x8,cadical,TIMEOUT,300.0
258,"(4, 5, 9)",10,4x5x8,cadical_lex,TIMEOUT,300.0
258,"(4, 5, 9)",10,4x5x8,hydra_satsuma,TIMEOUT,298.3
258,"(4, 5, 9)",10,4x5x8,kissat,TIMEOUT,300.0
260,"(4, 5, 9)",10,4x5x8,cadical,TIMEOUT,300.0
260,"(4, 5, 9)",10,4x5x8,cadical_lex,TIMEOUT,300.0
260,"(4, 5, 9)",10,4x5x8,hydra_satsuma,TIMEOUT,298.3
260,"(4, 5, 9)",10,4x5x8,kissat,TIMEOUT,300.0
262,"(4, 5, 9)",10,4x5x8,cadical,TIMEOUT,300.0
262,"(4, 5, 9)",10,4x5x8,cadical_lex,TIMEOUT,300.0
262,"(4, 5, 9)",10,4x5x8,hydra_satsuma,TIMEOUT,298.3
262,"(4, 5, 9)",10,4x5x8,kissat,TIMEOUT,300.0
263,"(4, 5, 9)",10,4x5x8,cadical,TIMEOUT,300.0
263,"(4, 5, 9)",10,4x5x8,cadical_lex,TIMEOUT,300.0
263,"(4, 5, 9)",10,4x5x8,hydra_satsuma,TIMEOUT,298.3
263,"(4, 5, 9)",10,4x5x8,kissat,TIMEOUT,300.0
269,"(3, 7, 9)",11,3x7x8,cadical,TIMEOUT,300.0
269,"(3, 7, 9)",11,3x7x8,cadical_lex,TIMEOUT,300.0
269,"(3, 7, 9)",11,3x7x8,hydra_satsuma,TIMEOUT,298.3
269,"(3, 7, 9)",11,3x7x8,kissat,TIMEOUT,300.0
270,"(3, 7, 9)",11,3x7x8,cadical,TIMEOUT,300.0
270,"(3, 7, 9)",11,3x7x8,cadical_lex,TIMEOUT,300.0
270,"(3, 7, 9)",11,3x7x8,hydra_satsuma,TIMEOUT,298.3
270,"(3, 7, 9)",11,3x7x8,kissat,TIMEOUT,300.0
272,"(3, 7, 9)",11,3x7x8,cadical,TIMEOUT,300.0
272,"(3, 7, 9)",11,3x7x8,cadical_lex,TIMEOUT,300.0
272,"(3, 7, 9)",11,3x7x8,hydra_satsuma,TIMEOUT,298.4
272,"(3, 7, 9)",11,3x7x8,kissat,TIMEOUT,300.0
273,"(3, 7, 9)",11,3x7x8,cadical,TIMEOUT,300.0
273,"(3, 7, 9)",11,3x7x8,cadical_lex,TIMEOUT,300.0
273,"(3, 7, 9)",11,3x7x8,hydra_satsuma,TIMEOUT,298.4
273,"(3, 7, 9)",11,3x7x8,kissat,TIMEOUT,300.0
277,"(3, 7, 9)",11,3x7x9,cadical,TIMEOUT,300.0
277,"(3, 7, 9)",11,3x7x9,cadical_lex,TIMEOUT,300.0
